trace_length,count,log
13,191,outputs/Sepsis/evaluation/Sepsis_log_1050_run-2_simulation.xes
14,177,outputs/Sepsis/evaluation/Sepsis_log_1050_run-2_simulation.xes
15,108,outputs/Sepsis/evaluation/Sepsis_log_1050_run-2_simulation.xes
16,69,outputs/Sepsis/evaluation/Sepsis_log_1050_run-2_simulation.xes
17,31,outputs/Sepsis/evaluation/Sepsis_log_1050_run-2_simulation.xes
18,20,outputs/Sepsis/evaluation/Sepsis_log_1050_run-2_simulation.xes
19,5,outputs/Sepsis/evaluation/Sepsis_log_1050_run-2_simulation.xes
20,1,outputs/Sepsis/evaluation/Sepsis_log_1050_run-2_simulation.xes
4,2,outputs/Sepsis/evaluation/Sepsis_log_1050_run-3_simulation.xes
5,4,outputs/Sepsis/evaluation/Sepsis_log_1050_run-3_simulation.xes
6,6,outputs/Sepsis/evaluation/Sepsis_log_1050_run-3_simulation.xes
7,9,outputs/Sepsis/evaluation/Sepsis_log_1050_run-3_simulation.xes
8,20,outputs/Sepsis/evaluation/Sepsis_log_1050_run-3_simulation.xes
9,52,outputs/Sepsis/evaluation/Sepsis_log_1050_run-3_simulation.xes
10,80,outputs/Sepsis/evaluation/Sepsis_log_1050_run-3_simulation.xes
11,125,outputs/Sepsis/evaluation/Sepsis_log_1050_run-3_simulation.xes
12,156,outputs/Sepsis/evaluation/Sepsis_log_1050_run-3_simulation.xes
13,154,outputs/Sepsis/evaluation/Sepsis_log_1050_run-3_simulation.xes
14,148,outputs/Sepsis/evaluation/Sepsis_log_1050_run-3_simulation.xes
15,139,outputs/Sepsis/evaluation/Sepsis_log_1050_run-3_simulation.xes
16,81,outputs/Sepsis/evaluation/Sepsis_log_1050_run-3_simulation.xes
17,46,outputs/Sepsis/evaluation/Sepsis_log_1050_run-3_simulation.xes
18,16,outputs/Sepsis/evaluation/Sepsis_log_1050_run-3_simulation.xes
19,8,outputs/Sepsis/evaluation/Sepsis_log_1050_run-3_simulation.xes
20,3,outputs/Sepsis/evaluation/Sepsis_log_1050_run-3_simulation.xes
21,1,outputs/Sepsis/evaluation/Sepsis_log_1050_run-3_simulation.xes
5,1,outputs/Sepsis/evaluation/Sepsis_log_1050_run-4_simulation.xes
6,5,outputs/Sepsis/evaluation/Sepsis_log_1050_run-4_simulation.xes
7,12,outputs/Sepsis/evaluation/Sepsis_log_1050_run-4_simulation.xes
8,21,outputs/Sepsis/evaluation/Sepsis_log_1050_run-4_simulation.xes
9,48,outputs/Sepsis/evaluation/Sepsis_log_1050_run-4_simulation.xes
10,70,outputs/Sepsis/evaluation/Sepsis_log_1050_run-4_simulation.xes
11,108,outputs/Sepsis/evaluation/Sepsis_log_1050_run-4_simulation.xes
12,151,outputs/Sepsis/evaluation/Sepsis_log_1050_run-4_simulation.xes
13,169,outputs/Sepsis/evaluation/Sepsis_log_1050_run-4_simulation.xes
14,157,outputs/Sepsis/evaluation/Sepsis_log_1050_run-4_simulation.xes
15,138,outputs/Sepsis/evaluation/Sepsis_log_1050_run-4_simulation.xes
16,83,outputs/Sepsis/evaluation/Sepsis_log_1050_run-4_simulation.xes
17,53,outputs/Sepsis/evaluation/Sepsis_log_1050_run-4_simulation.xes
18,21,outputs/Sepsis/evaluation/Sepsis_log_1050_run-4_simulation.xes
19,7,outputs/Sepsis/evaluation/Sepsis_log_1050_run-4_simulation.xes
20,4,outputs/Sepsis/evaluation/Sepsis_log_1050_run-4_simulation.xes
21,1,outputs/Sepsis/evaluation/Sepsis_log_1050_run-4_simulation.xes
22,1,outputs/Sepsis/evaluation/Sepsis_log_1050_run-4_simulation.xes
3,1,outputs/Sepsis/evaluation/Sepsis_log_1050_run-5_simulation.xes
5,5,outputs/Sepsis/evaluation/Sepsis_log_1050_run-5_simulation.xes
6,4,outputs/Sepsis/evaluation/Sepsis_log_1050_run-5_simulation.xes
7,15,outputs/Sepsis/evaluation/Sepsis_log_1050_run-5_simulation.xes
8,30,outputs/Sepsis/evaluation/Sepsis_log_1050_run-5_simulation.xes
9,47,outputs/Sepsis/evaluation/Sepsis_log_1050_run-5_simulation.xes
10,69,outputs/Sepsis/evaluation/Sepsis_log_1050_run-5_simulation.xes
11,107,outputs/Sepsis/evaluation/Sepsis_log_1050_run-5_simulation.xes
12,154,outputs/Sepsis/evaluation/Sepsis_log_1050_run-5_simulation.xes
13,185,outputs/Sepsis/evaluation/Sepsis_log_1050_run-5_simulation.xes
14,157,outputs/Sepsis/evaluation/Sepsis_log_1050_run-5_simulation.xes
15,118,outputs/Sepsis/evaluation/Sepsis_log_1050_run-5_simulation.xes
16,83,outputs/Sepsis/evaluation/Sepsis_log_1050_run-5_simulation.xes
17,55,outputs/Sepsis/evaluation/Sepsis_log_1050_run-5_simulation.xes
18,14,outputs/Sepsis/evaluation/Sepsis_log_1050_run-5_simulation.xes
19,3,outputs/Sepsis/evaluation/Sepsis_log_1050_run-5_simulation.xes
20,2,outputs/Sepsis/evaluation/Sepsis_log_1050_run-5_simulation.xes
21,1,outputs/Sepsis/evaluation/Sepsis_log_1050_run-5_simulation.xes
